Candidate,Party,Votes,Percent,Electorate
"LANYON, Darryl",ONP,4963,18.17,Algester
"PATTISON, Clinton",LNP,5916,21.650000000000002,Algester
"ENOCH, Leeanne",ALP,14219,52.04,Algester
"O'BRIEN, Patsy",GRN,2223,8.139999999999999,Algester
"MELLISH, Bart",ALP,11600,37.5,Aspley
"HANSEN, James",GRN,2871,9.28,Aspley
"ROSS, Steve",,221,0.71,Aspley
"SKILBECK, Neil",CR,429,1.3900000000000001,Aspley
"BYRNE, Shaun",ONP,2969,9.6,Aspley
"DAVIS, Tracy",LNP,12364,39.97,Aspley
"KING, Zachary",,476,1.54,Aspley
"GRANT, Barry",,1312,4.930000000000001,Bancroft
"THOMAS, Kara",LNP,7130,26.8,Bancroft
"DEJUN, Simone",GRN,1586,5.96,Bancroft
"WHITING, Chris",ALP,11494,43.2,Bancroft
"BOULIS, Christopher",ONP,5083,19.110000000000003,Bancroft
"TROUT, Michael",LNP,8435,30.58,Barron River
"HODGETTS, Andrew",,801,2.9,Barron River
"BOYD, Cameron",GRN,3447,12.5,Barron River
"CRAWFORD, Craig",ALP,9266,33.59,Barron River
"TONKIN, Cheryl",,1018,3.69,Barron River
"SCHEBELLA, Andrew",ONP,4618,16.74,Barron River
"O'CONNOR, Sam",LNP,11237,43.849999999999994,Bonney
"NIGHTINGALE, Ron",,1078,4.21,Bonney
"HOLZBERGER, Rowan",ALP,9160,35.74,Bonney
"JAVANMARD, Amin",GRN,2496,9.739999999999998,Bonney
"BUEGGE, Robert",,1657,6.470000000000001,Bonney
"BALL, Brenden",ONP,5496,21.45,Broadwater
"KWON, Daniel",GRN,1672,6.53,Broadwater
"CRISAFULLI, David",LNP,12480,48.720000000000006,Broadwater
"FLORI, Peter",ALP,5969,23.3,Broadwater
"MICKELBERG, Brent",LNP,10060,37.27,Buderim
"MACKENZIE, Ken",ALP,5916,21.919999999999998,Buderim
"DICKSON, Steve",ONP,7828,29,Buderim
"BURTON, Tracy",GRN,3190,11.82,Buderim
"LE GOULLON, Bernadette",,539,1.86,Bulimba
"JELL, Angus",,415,1.43,Bulimba
"WARD, Fiona",LNP,10060,34.730000000000004,Bulimba
"FARMER, Di",ALP,14348,49.53,Bulimba
"JODELL, Felicity",GRN,3608,12.450000000000001,Bulimba
"CORBETT, Alan",,649,2.23,Bundaberg
"SMITH, Richard William",,231,0.7899999999999999,Bundaberg
"GLASS, Richard",,299,1.03,Bundaberg
"BUCHANAN, Marianne",GRN,1011,3.4699999999999998,Bundaberg
"DONALDSON, Leanne",ALP,10063,34.53,Bundaberg
"BATT, David",LNP,10377,35.61,Bundaberg
"TRUSCOTT, Jane",ONP,6514,22.35,Bundaberg
"HERBERT, Patrick",LNP,3723,15,Bundamba
"LIN, Shan-Ju",,1356,5.46,Bundamba
"JUDD, Trevor",,1257,5.07,Bundamba
"DUNCAN, Michelle",GRN,2674,10.78,Bundamba
"MILLER, Jo-Ann",ALP,13290,53.55,Bundamba
"PETERSEN, Patricia",,2516,10.139999999999999,Bundamba
"LAST, Dale",LNP,8976,31.7,Burdekin
"COX, Sam",ONP,8263,29.19,Burdekin
"BING, Mathew",GRN,825,2.9099999999999997,Burdekin
"BRUNKER, Michael",ALP,10248,36.2,Burdekin
"HART, Michael",LNP,13630,49.760000000000005,Burleigh
"BURGOYNE, Peter",GRN,4390,16.03,Burleigh
"HISLOP, Gail",ALP,9372,34.21,Burleigh
"BENNETT, Stephen",LNP,11954,42.790000000000006,Burnett
"LYNCH, Ashley",ONP,7371,26.38,Burnett
"ROBERTS, Tim",GRN,1535,5.49,Burnett
"HARVEY, Lee",ALP,7077,25.330000000000002,Burnett
"HODGE, Ian",ONP,3840,14.61,Cairns
"MCDONALD, Aaron",GRN,2049,7.8,Cairns
"HEALY, Michael",ALP,8020,30.51,Cairns
"PYNE, Rob",,5038,19.17,Cairns
"MARINO, Sam",LNP,7337,27.91,Cairns
"BAKER, Jaiben",GRN,862,3.3299999999999996,Callide
"RADEL, Robbie",KAP,3405,13.16,Callide
"BLACKWOOD, Darren",ALP,5764,22.279999999999998,Callide
"BOYCE, Colin",LNP,8616,33.3,Callide
"ANDERSON, Sandra",,648,2.5,Callide
"LOHSE, Sharon",ONP,6576,25.419999999999998,Callide
"JONES, Rod",ONP,6497,22.6,Caloundra
"HUNT, Jason",ALP,8248,28.69,Caloundra
"FINCH, Marcus",GRN,3043,10.59,Caloundra
"MCARDLE, Mark",LNP,10958,38.120000000000005,Caloundra
"TAYLOR, Paul",ONP,5461,19.36,Capalaba
"BROWN, Don",ALP,12200,43.25,Capalaba
"LEAFE, Cameron",LNP,7171,25.419999999999998,Capalaba
"LAVENDER, Jason",,1074,3.8099999999999996,Capalaba
"SANDERSON, Joshua",GRN,2303,8.16,Capalaba
"MINNIKIN, Steve",LNP,13980,50.44,Chatsworth
"KEENE, Paul",ALP,10523,37.96,Chatsworth
"NELSON, Dave",GRN,3215,11.6,Chatsworth
"NICHOLLS, Tim",LNP,14102,48.54,Clayfield
"OGDEN, Claire",GRN,5400,18.59,Clayfield
"ANTHONY, Philip",ALP,9549,32.87,Clayfield
"HUYBREGTS, Brendon",ALP,5416,17.93,Condamine
"TURNBULL, Chris",GRN,1434,4.75,Condamine
"ASHMAN, Frank",ONP,7193,23.810000000000002,Condamine
"WEIR, Pat",LNP,12691,42.01,Condamine
"HILL, John",KAP,3474,11.5,Condamine
"JOHNSON, Penny",LNP,4144,17.73,Cook
"SACKLEY, Jen",ONP,4344,18.58,Cook
"MATHEWS, Brynn",GRN,1515,6.48,Cook
"RASMUSSEN, Gordon",KAP,4043,17.3,Cook
"LUI, Cynthia",ALP,9329,39.91,Cook
"CRANDON, Michael",LNP,11054,39.349999999999994,Coomera
"JOHNSON, Christopher",ALP,8778,31.25,Coomera
"PIGDON, Ronald",ONP,5759,20.5,Coomera
"KERWIN, Tayla",GRN,2501,8.9,Coomera
"WILTSHIRE, Robert",,948,2.9499999999999997,Cooper
"JONES, Kate",ALP,13119,40.87,Cooper
"WALTERS, Reece",GRN,6610,20.59,Cooper
"SHEARMAN, Robert",LNP,11425,35.59,Cooper
"STUCKEY, Jann",LNP,12877,47.809999999999995,Currumbin
"SEMPLE, Andrew",,1302,4.83,Currumbin
"LEADER, Georgi",ALP,9637,35.78,Currumbin
"WYATT, David",GRN,3120,11.58,Currumbin
"MANDER, Tim",LNP,16755,51.790000000000006,Everton
"CLINCH, Bridget",GRN,3963,12.25,Everton
"GREENE, David",ALP,11634,35.96,Everton
"WORLD, Elizabeth",GRN,4343,15.53,Ferny Grove
"ELSTON, Nick",LNP,11271,40.3,Ferny Grove
"FURNER, Mark",ALP,11283,40.339999999999996,Ferny Grove
"FOO, Lisa",,1074,3.84,Ferny Grove
"CRAMP, Sid",LNP,11880,46.220000000000006,Gaven
"SCANLON, Meaghan",ALP,11083,43.120000000000005,Gaven
"SPAIN, Sally",GRN,2739,10.66,Gaven
"CONAGLEN, Chay",LNP,2921,11.49,Gladstone
"BUTCHER, Glenn",ALP,16493,64.85,Gladstone
"BAKER, Peta",GRN,900,3.54,Gladstone
"LOHSE, Amy",ONP,5117,20.12,Gladstone
"BELL-HENSELIN, Tracey",ONP,6359,22.58,Glass House
"POWELL, Andrew",LNP,10011,35.55,Glass House
"MUREAU, Sue",,753,2.67,Glass House
"HAMPSTEAD, Brent",ALP,7433,26.4,Glass House
"WEBER, Sue",GRN,3601,12.79,Glass House
"HUML, Victor",GRN,5773,20.7,Greenslopes
"KELLY, Joe",ALP,11898,42.660000000000004,Greenslopes
"KAYE, Ian",LNP,10220,36.64,Greenslopes
"WESTON, Norman",GRN,555,2.9099999999999997,Gregory
"MILLAR, Lachlan",LNP,8716,45.63,Gregory
"HIGGINS, Mark",ONP,4569,23.919999999999998,Gregory
"CURRIE, Bruce",,1223,6.4,Gregory
"KERRIGAN, Dave",ALP,4038,21.14,Gregory
"DOBSON, Chelle",ONP,9111,29.64,Gympie
"MCWILLIAM, Tracey",ALP,6888,22.41,Gympie
"KENNEDY-PERRIMAN, Roxanne",GRN,1695,5.51,Gympie
"PERRETT, Tony",LNP,11532,37.51,Gympie
"REARDON, Donna",,1514,4.930000000000001,Gympie
"CAMERON, Jenni",GRN,1417,4.819999999999999,Hervey Bay
"TANTARI, Adrian",ALP,8618,29.3,Hervey Bay
"SORENSEN, Ted",LNP,11109,37.760000000000005,Hervey Bay
"HUXHAM, Damian",ONP,7434,25.27,Hervey Bay
"DEAN, Jannean",,839,2.8499999999999996,Hervey Bay
"O'BRIEN, Diana",ALP,5538,18.8,Hill
"QUAGLIATA, Mario",LNP,6762,22.95,Hill
"KLOOT, Johanna",GRN,1879,6.38,Hill
"TUXFORD, Chester Gordon",,207,0.7,Hill
"KNUTH, Shane",KAP,14277,48.46,Hill
"WORTH, Stewart",,801,2.72,Hill
"RAFFLES, Peter",,1247,4.71,Hinchinbrook
"BELL, Margaret",ONP,5785,21.85,Hinchinbrook
"BURNESS, Lyle",GRN,803,3.03,Hinchinbrook
"DAMETTO, Nick",KAP,5568,21.04,Hinchinbrook
"JACOB, Paul",ALP,4983,18.830000000000002,Hinchinbrook
"CRIPPS, Andrew",LNP,8084,30.54,Hinchinbrook
"PALASZCZUK, Annastacia",ALP,18238,67.95,Inala
"MCFARLANE, Leanne",LNP,5484,20.43,Inala
"SIDHU, Nav Singh",GRN,3119,11.62,Inala
"ROBERTS, Malcolm",ONP,7111,26.59,Ipswich
"CASWELL, Andrew",LNP,3712,13.88,Ipswich
"MORRISSEY, Brett",GRN,2316,8.66,Ipswich
"AGGETT, Troy",,759,2.84,Ipswich
"HOWARD, Jennifer",ALP,12848,48.04,Ipswich
"MADDEN, Jim",ALP,12761,47.760000000000005,Ipswich West
"TRUSSELL, Brad",ONP,7523,28.16,Ipswich West
"MULLER, Keith",GRN,2050,7.67,Ipswich West
"O'NEILL, Anna",LNP,4383,16.41,Ipswich West
"MULLEN, Charis",ALP,10697,39.620000000000005,Jordan
"PUCCI, Michael",ONP,5080,18.82,Jordan
"MURRAY, Duncan",LNP,3894,14.42,Jordan
"HODGSON, Steve",,2244,8.31,Jordan
"ERVIK, Peter",CR,460,1.7,Jordan
"CUTCLIFFE, Phil",,2634,9.76,Jordan
"PURCELL, Steven",GRN,1989,7.37,Jordan
"JESSOP, Michael",,1394,4.930000000000001,Kawana
"MOSS, Mark",ALP,7143,25.27,Kawana
"SPENDLOVE, Annette",GRN,2881,10.19,Kawana
"DAVEY, Jeremy",,831,2.94,Kawana
"BLEIJIE, Jarrod",LNP,16020,56.67,Kawana
"LOTH, Matt",ONP,7563,25.23,Keppel
"LAUGA, Brittany",ALP,12967,43.25,Keppel
"MULLBRICK, Clancy",GRN,1959,6.53,Keppel
"BLUNDELL, Peter",LNP,7493,24.99,Keppel
"HADDOCK, Karen",ONP,6e3,21.87,Kurwongbah
"COOK, Allan",LNP,6616,24.110000000000003,Kurwongbah
"DOHERTY, Rachel",GRN,2352,8.57,Kurwongbah
"KING, Shane",ALP,11391,41.51,Kurwongbah
"PROHASKA, Thor",,1082,3.94,Kurwongbah
"MCDONALD, Jim",LNP,9464,36.32,Lockyer
"SAVAGE, Jim",ONP,8976,34.449999999999996,Lockyer
"SIMONS, Ian",GRN,1113,4.2700000000000005,Lockyer
"LINCOLN, Nicole",ALP,5926,22.74,Lockyer
"PARR, Tony",,578,2.22,Lockyer
"VICARIO, Gloria",LNP,4424,18.03,Logan
"JENKINSON, Liam",GRN,1114,4.54,Logan
"BANNAN, Scott",ONP,7638,31.130000000000003,Logan
"COX, Danielle",,538,2.19,Logan
"POWER, Linus",ALP,10515,42.849999999999994,Logan
"MURPHY, Daniel",,309,1.26,Logan
"PEASE, Joan",ALP,14737,49.2,Lytton
"STRAHAN, Karren",LNP,7309,24.4,Lytton
"BLACK, Suzanne",ONP,4612,15.4,Lytton
"AUSTIN, Ken",GRN,3295,11,Lytton
"NEHRING, Gabi",GRN,1826,6.6,Macalister
"MUSGRAVE, Ben",CR,909,3.2800000000000002,Macalister
"BRADLEY, Greg",,515,1.86,Macalister
"VAN MANEN, Judi",LNP,7385,26.68,Macalister
"JOHNSTON, Hetty",,6426,23.21,Macalister
"CLANCY, Janelle",,483,1.74,Macalister
"MCMAHON, Melissa",ALP,10140,36.63,Macalister
"FORSTER, Jamie",LNP,9025,36.7,McConnel
"DOBINSON, John",,245,1,McConnel
"GRACE, Grace",ALP,8280,33.67,McConnel
"EMANUEL, Kamala",,193,0.7799999999999999,McConnel
"LOVEJOY, Kirsten",GRN,6642,27.01,McConnel
"GILMOUR, Edward",,209,0.8500000000000001,McConnel
"KEIOSKIE, Jeff",ONP,6471,22.3,Mackay
"McCANN, Martin",,1355,4.67,Mackay
"GILBERT, Julieanne",ALP,12553,43.25,Mackay
"JENNINGS, Elliot",GRN,1409,4.859999999999999,Mackay
"BATZLOFF, Nicole",LNP,7233,24.919999999999998,Mackay
"BERKMAN, Michael",GRN,8369,27.57,Maiwar
"DIAMOND, Anita",,820,2.7,Maiwar
"KING, Ali",ALP,8365,27.55,Maiwar
"EMERSON, Scott",LNP,12806,42.18,Maiwar
"WALKER, Ian",LNP,11334,40.32,Mansfield
"BELL, Barbara",GRN,3122,11.11,Mansfield
"MCMILLAN, Corrine",ALP,11078,39.41,Mansfield
"SYMES, Neil",ONP,2575,9.16,Mansfield
"MCGLONE, Julie",ALP,7008,25.21,Maroochydore
"SIMPSON, Fiona",LNP,12429,44.71,Maroochydore
"YOUNG, Cam",ONP,4503,16.2,Maroochydore
"BRYAR, Daniel",GRN,3861,13.89,Maroochydore
"CURRIE, Roger M",,865,2.8699999999999997,Maryborough
"KINGSTON, Richard",LNP,5424,18,Maryborough
"HANSEN, James",ONP,9115,30.25,Maryborough
"SAUNDERS, Bruce",ALP,13719,45.52,Maryborough
"ARMSTRONG, Craig",GRN,1014,3.36,Maryborough
"BLUNDELL-THORNTON, Joshua",ALP,6323,24.56,Mermaid Beach
"HECKE, Mona",,3083,11.97,Mermaid Beach
